Year,Month,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region
2015,November,15.91777778,12.03333333,15.19333333,15.51111111,27.80420635,31.25119048,25.5034127,11.06984127,33.26,Islands
2015,November,10.91733333,7.488333333,9.010000001,9.913333334,27.18850575,32.24166667,24.23333333,6.666666667,31.35666667,North
2015,November,7.338333333,3.146666667,3.6,4.253333333,28.01333333,32.84333333,25.36666667,7.413333333,34.08,North-East
2015,November,3.737777778,2.468888889,3.077777778,3.411111111,28.22333333,30.53,26.29666667,7.353333333,28.71,South-East
2015,November,7.833333333,5.162222222,6.191111111,6.975555556,28.08666667,31.13333333,25.87,8.433333333,32.13666667,South-West
2015,November,9.410685714,6.027833333,7.469408163,8.274632654,27.35133333,31.75333333,24.77333333,5.547222222,28.89111111,West
2015,December,11.50250896,6.753405018,8.440143369,9.777060932,27.36833333,31.34333333,24.75166667,5.569354839,33.4,Central
2015,December,8.958064517,5.716129032,7.512903226,8.093548387,28.28064516,32.39032258,25.49677419,7.951612903,35.43225806,Central Business District and Surrounding
2015,December,8.866233766,5.200879765,6.426050831,7.33514174,27.87580646,31.88494623,25.25483871,9.154838709,34.28387097,East
2015,December,9.400000001,5.316129032,6.522580645,7.716129034,27.57419355,31.12903226,25.13225806,11.15483871,36.83978495,Islands
2015,December,9.006451613,5.611290323,6.619354839,7.490322581,27.33768818,31.60322581,24.37096774,8.898387096,37.25,North
2015,December,8.738709678,4.283870968,5.277419355,6.451612903,27.93870968,32.1483871,25.36129032,10.68064516,39.5516129,North-East
2015,December,6.877419355,4.230107527,5.494623656,6.187096774,28.00967742,30.83548387,25.52903226,7.641935484,35.13870968,South-East
2015,December,10.92903226,6.219354839,8.122580645,9.372043011,28.06129032,31.4,25.62903226,9.94516129,37.11290323,South-West
2015,December,10.26152408,6.408698157,7.831394009,8.782680491,27.37741935,31.64946237,24.6655914,6.501612903,32.17956989,West
2016,January,5.848054275,3.870558116,4.562954429,4.967204301,27.73387097,31.4967742,25.54677419,6.293548387,33.64516129,Central
