Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Region,Year,Month
-1.1327332750096553,-1.4494150102022494,-1.321463933003358,-1.257229294350562,0.4919211014884355,0.10301252851170178,0.8535886137605911,1.4174398498402043,0.8500228852558006,North-East,2019,1
-1.003098365654879,-1.0452234928130413,-1.1479642695997576,-1.1233603033790764,0.1577612061033058,-1.0066314344776637,1.0281066932061116,2.6063056028380895,2.657376862607394,South-East,2019,1
-0.9107500274844647,-1.056692117084958,-1.1344245859320854,-1.1141671393127952,0.18375990762308225,-0.15584827071940438,0.6618791989827952,2.2388014907940335,2.316946124730825,South-West,2019,1
-0.9901348745963806,-1.0581976507086093,-1.082063153933725,-1.0706803759494599,-0.23633475544796412,0.4049793834515614,-0.3380833618175886,-0.10696585811861158,-0.294547509829991,West,2019,1
-1.4854320307221833,-1.4566577440931283,-1.4537811674900432,-1.4821488236742137,-0.2735562089303034,0.9767398945757424,-0.30910554751712627,-0.45303700873799924,0.4956253398527231,Central,2019,2
-1.69334284249945,-1.7775992157871177,-1.7545112884374001,-1.744629292430149,0.665611947044112,1.1602557107017848,0.8379080297536182,0.27845682481235523,-0.22599307940079771,Central Business District and Surrounding,2019,2
-1.500181225571165,-1.618366887221142,-1.5714431249272092,-1.5675981758902628,0.5522603459235967,1.1153150888697654,0.14365537619254456,0.8850705086388373,0.40989924105825176,East,2019,2
-1.4604818842433778,-1.4996289869311372,-1.4934401683553906,-1.4811411190290518,-0.04959290442183807,1.0177531779236397,-0.4432035225517142,1.3406792555790346,1.4078667703964196,Islands,2019,2
-1.006403016289896,-0.932363815694186,-0.9545830093717135,-0.9768082873386523,-0.4836661079612956,1.067466256557262,-1.017806175468302,1.8513785588263234,1.0943013626522051,North,2019,2
-1.3462482068694523,-1.2690166488489574,-1.2594312990856666,-1.2972483316390646,0.25786318648204526,0.4939582363516352,0.6933966369985812,1.7647900429547418,0.7614847574724414,North-East,2019,2
-1.7292239333058312,-1.879864806543556,-1.8176565391441157,-1.7922035460142713,0.22747508875899133,-0.5277020738434943,0.9842911136924877,2.9420726751176844,2.582350482179378,South-East,2019,2
-1.7006655141930143,-1.8194663369085728,-1.7730834211030768,-1.7510335189923973,0.402951480561235,0.6989680801075887,0.6987921912884771,1.4490693008688493,1.1130702738866294,South-West,2019,2
-1.2301838615721363,-1.1963619965115817,-1.1918893800848667,-1.2107912747778533,0.07324056208182879,1.4260218172802064,-0.415807169875021,-0.2544145695565254,-0.6668012574140363,West,2019,2
-0.7822450141982251,-0.7130983310745143,-0.6539854845359051,-0.6524086408644694,0.4288707540742593,1.84240891466699,-0.10886558564867144,-0.6434950811844639,0.170794955095486,Central,2019,3
-1.1662663867737542,-1.0888042653922427,-1.1736537223098515,-1.1315825039753324,1.4465742794423937,2.083129256312642,1.2739427581775546,-0.3532069992451647,-1.0203641399606909,Central Business District and Surrounding,2019,3
-0.9932718123987271,-1.117134867171507,-1.0823027946169048,-1.0936116385906616,1.2727861109814862,2.0803902219159505,0.43292189300372974,0.16732341087909552,-0.2636989229959879,East,2019,3
-1.3450435094904845,-1.257857987161472,-1.263950232334,-1.3043313471563667,0.40572216424269597,1.4483927000554042,-0.2729646758188746,0.667872040938403,0.48900948344273554,Islands,2019,3
0.13636603253541518,0.39548369445519027,0.6217802291760388,0.5044494447818584,0.29540143397276414,2.0289131394022166,-1.1321592383439714,0.9921038102906936,0.6269584539840136,North,2019,3
-0.8137718715621683,-1.0514227491139116,-1.0971605004820078,-1.1580670786453486,-1.8253438921434566,-1.1918527397075362,-1.4251468149671445,0.6131480688758506,0.11427430432160861,North-East,2019,3
-1.0837894826457506,-1.2101237128376259,-1.1307101591315114,-1.059731214878572,0.5915364802708605,-0.35667306042169217,1.0398280576548449,2.0379795732261607,1.5655155125874205,South-East,2019,3
-1.466344746153748,-1.4672688686716138,-1.4589216777725018,-1.454231562966893,1.0795336588606685,1.0880530807002942,1.1765772934073113,0.9424960150567673,0.787294764470142,South-West,2019,3
-0.5212592230104608,-0.47830149521985904,-0.36533289342429226,-0.37593493952732326,0.7567047511282404,2.149988532003016,-0.23389346906447697,-0.6250864053814693,-0.8328549754494557,West,2019,3
0.7566820573728514,0.7613683993044253,0.91532021677054,0.8293885698419798,0.47252634157788137,1.2413377413790332,0.2722740903814527,-0.8382756061093409,-0.2665049906571363,Central,2019,4
